t,v
1.399999999999996625e+01,9.499999999999999556e-01
1.409999999999996589e+01,8.900000000000000133e-01
1.419999999999996554e+01,8.800000000000000044e-01
1.429999999999996518e+01,8.399999999999999689e-01
1.439999999999996483e+01,8.800000000000000044e-01
1.449999999999996447e+01,8.800000000000000044e-01
1.459999999999996412e+01,8.199999999999999512e-01
1.469999999999996376e+01,8.100000000000000533e-01
1.479999999999996341e+01,7.399999999999999911e-01
1.489999999999996305e+01,7.399999999999999911e-01
1.499999999999996270e+01,7.099999999999999645e-01
1.509999999999996234e+01,6.999999999999999556e-01
1.519999999999996199e+01,7.099999999999999645e-01
1.529999999999996163e+01,5.999999999999999778e-01
1.539999999999996128e+01,5.799999999999999600e-01
1.549999999999996092e+01,5.999999999999999778e-01
1.559999999999996056e+01,6.400000000000000133e-01
1.569999999999996021e+01,6.999999999999999556e-01
1.579999999999995985e+01,7.500000000000000000e-01
1.589999999999995950e+01,8.599999999999999867e-01
1.599999999999995914e+01,9.300000000000000488e-01
1.609999999999995879e+01,9.300000000000000488e-01
1.619999999999996021e+01,8.699999999999999956e-01
1.629999999999996163e+01,9.499999999999999556e-01
1.639999999999996305e+01,9.000000000000000222e-01
1.649999999999996447e+01,8.699999999999999956e-01
1.659999999999996589e+01,7.700000000000000178e-01
1.669999999999996732e+01,7.399999999999999911e-01
1.679999999999996874e+01,7.600000000000000089e-01
1.689999999999997016e+01,7.199999999999999734e-01
1.699999999999997158e+01,6.899999999999999467e-01
1.709999999999997300e+01,5.999999999999999778e-01
1.719999999999997442e+01,5.200000000000000178e-01
1.729999999999997584e+01,3.900000000000000133e-01
1.739999999999997726e+01,2.999999999999999889e-01
1.749999999999997868e+01,2.099999999999999922e-01
1.759999999999998010e+01,1.499999999999999944e-01
1.769999999999998153e+01,1.300000000000000044e-01
1.779999999999998295e+01,-1.000000000000000021e-02
1.789999999999998437e+01,-1.199999999999999956e-01
1.799999999999998579e+01,-2.999999999999999889e-01
1.809999999999998721e+01,-4.500000000000000111e-01
1.819999999999998863e+01,-5.799999999999999600e-01
1.829999999999999005e+01,-7.099999999999999645e-01
1.839999999999999147e+01,-8.599999999999999867e-01
1.849999999999999289e+01,-1.030000000000000027e+00
1.859999999999999432e+01,-1.090000000000000080e+00
1.869999999999999574e+01,-1.179999999999999938e+00
1.879999999999999716e+01,-1.219999999999999973e+00
1.889999999999999858e+01,-1.429999999999999938e+00
1.900000000000000000e+01,-1.530000000000000027e+00
1.910000000000000142e+01,-1.590000000000000080e+00
1.920000000000000284e+01,-1.659999999999999920e+00
1.930000000000000426e+01,-1.739999999999999991e+00
1.940000000000000568e+01,-1.879999999999999893e+00
1.950000000000000711e+01,-1.939999999999999947e+00
1.960000000000000853e+01,-2.089999999999999858e+00
1.970000000000000995e+01,-2.020000000000000018e+00
1.980000000000001137e+01,-2.029999999999999805e+00
1.990000000000001279e+01,-2.120000000000000107e+00
2.000000000000001421e+01,-2.029999999999999805e+00
2.010000000000001563e+01,-1.989999999999999991e+00
2.020000000000001705e+01,-1.939999999999999947e+00
2.030000000000001847e+01,-1.810000000000000053e+00
2.040000000000001990e+01,-1.870000000000000107e+00
2.050000000000002132e+01,-1.929999999999999938e+00
2.060000000000002274e+01,-1.899999999999999911e+00
2.070000000000002416e+01,-1.879999999999999893e+00
2.080000000000002558e+01,-1.850000000000000089e+00
2.090000000000002700e+01,-1.810000000000000053e+00
2.100000000000002842e+01,-1.860000000000000098e+00
2.110000000000002984e+01,-1.899999999999999911e+00
2.120000000000003126e+01,-1.820000000000000062e+00
2.130000000000003268e+01,-1.850000000000000089e+00
2.140000000000003411e+01,-1.860000000000000098e+00
2.150000000000003553e+01,-1.840000000000000080e+00
2.160000000000003695e+01,-1.889999999999999902e+00
2.170000000000003837e+01,-1.790000000000000036e+00
2.180000000000003979e+01,-1.840000000000000080e+00
2.190000000000004121e+01,-1.800000000000000044e+00
2.200000000000004263e+01,-1.840000000000000080e+00
2.210000000000004405e+01,-1.739999999999999991e+00
2.220000000000004547e+01,-1.800000000000000044e+00
2.230000000000004690e+01,-1.790000000000000036e+00
2.240000000000004832e+01,-1.850000000000000089e+00
2.250000000000004974e+01,-2.029999999999999805e+00
2.260000000000005116e+01,-1.889999999999999902e+00
2.270000000000005258e+01,-1.770000000000000018e+00
2.280000000000005400e+01,-1.770000000000000018e+00
2.290000000000005542e+01,-1.780000000000000027e+00
2.300000000000005684e+01,-1.770000000000000018e+00
2.310000000000005826e+01,-1.800000000000000044e+00
2.320000000000005969e+01,-1.750000000000000000e+00
2.330000000000006111e+01,-1.739999999999999991e+00
2.340000000000006253e+01,-1.659999999999999920e+00
2.350000000000006395e+01,-1.760000000000000009e+00
2.360000000000006537e+01,-1.790000000000000036e+00
2.370000000000006679e+01,-1.760000000000000009e+00
2.380000000000006821e+01,-1.770000000000000018e+00
2.390000000000006963e+01,-1.649999999999999911e+00
2.400000000000007105e+01,-1.699999999999999956e+00
2.410000000000007248e+01,-1.750000000000000000e+00
2.420000000000007390e+01,-1.780000000000000027e+00
2.430000000000007532e+01,-1.669999999999999929e+00
2.440000000000007674e+01,-1.739999999999999991e+00
2.450000000000007816e+01,-1.659999999999999920e+00
2.460000000000007958e+01,-1.729999999999999982e+00
2.470000000000008100e+01,-1.719999999999999973e+00
2.480000000000008242e+01,-1.810000000000000053e+00
2.490000000000008384e+01,-1.709999999999999964e+00
2.500000000000008527e+01,-1.760000000000000009e+00
2.510000000000008669e+01,-1.669999999999999929e+00
2.520000000000008811e+01,-1.669999999999999929e+00
2.530000000000008953e+01,-1.659999999999999920e+00
2.540000000000009095e+01,-1.620000000000000107e+00
2.550000000000009237e+01,-1.610000000000000098e+00
2.560000000000009379e+01,-1.500000000000000000e+00
2.570000000000009521e+01,-1.479999999999999982e+00
2.580000000000009663e+01,-1.469999999999999973e+00
2.590000000000009805e+01,-1.459999999999999964e+00
2.600000000000009948e+01,-1.389999999999999902e+00
2.610000000000010090e+01,-1.459999999999999964e+00
2.620000000000010232e+01,-1.459999999999999964e+00
2.630000000000010374e+01,-1.419999999999999929e+00
2.640000000000010516e+01,-1.370000000000000107e+00
2.650000000000010658e+01,-1.389999999999999902e+00
2.660000000000010800e+01,-1.469999999999999973e+00
2.670000000000010942e+01,-1.429999999999999938e+00
2.680000000000011084e+01,-1.330000000000000071e+00
2.690000000000011227e+01,-1.389999999999999902e+00
2.700000000000011369e+01,-1.389999999999999902e+00
2.710000000000011511e+01,-1.419999999999999929e+00
2.720000000000011653e+01,-1.389999999999999902e+00
2.730000000000011795e+01,-1.469999999999999973e+00
2.740000000000011937e+01,-1.459999999999999964e+00
2.750000000000012079e+01,-1.449999999999999956e+00
2.760000000000012221e+01,-1.500000000000000000e+00
2.770000000000012363e+01,-1.489999999999999991e+00
2.780000000000012506e+01,-1.449999999999999956e+00
